model,framing,thinking_mode,effort,pair,version,riddle_id,repetition,riddle_text,model_answer,thinking_used,input_tokens,output_tokens,error,accuracy_strict,strategy_strict,strategy_correctness_strict,rationale_strict,accuracy_permissive,matched_answer_idx,strategy_permissive,strategy_correctness_permissive,rationale_permissive
claude-opus-4-6,baseline,off,,1,A,1A,1,"A cowboy rode into town on Sunday, he stayed one night and rode out on Sunday. How is this possible?","**Answer: The cowboy's horse is named Sunday.**

He rode into town on his horse called Sunday, stayed one night, and rode out on the same horse — so he rode in ""on Sunday"" and rode out ""on Sunday"" regardless of the day of the week.",0,55,61,,1,inventive,1,"The model correctly identifies the trick that 'Sunday' is the horse's name, not the day of the week.",1,0,inventive,1,"The model correctly identifies the trick that Sunday is the horse's name, matching the canonical inventive answer."
claude-opus-4-6,baseline,off,,1,B,1B,1,"A cowboy rode into town on Sunday, he stayed one night and rode out on Monday. How is this possible?","**The horse's name is Monday (or Sunday, depending on the version).**

The cowboy rode into town on a horse named **Monday**, so when it says he ""rode out on Monday,"" it means he rode out on his horse called Monday — not on the day of the week.",0,55,64,,0,inventive,0,"The model applied a naming trick (horse named Monday), which is an inventive strategy, but the canonical answer is simply that Sunday + one night = Monday, a literal/straightforward explanation.",0,,ambiguous,0,The model gives multiple conflicting answers (horse named Monday or Sunday) and doesn't clearly match either valid answer.
claude-opus-4-6,baseline,off,,2,A,2A,1,"You see a boat filled with people, yet there isn't a single person on board. How is that possible?","**Answer: All the people on the boat are married.**

The riddle plays on the double meaning of the word ""single"" — while it seems to imply there are no people at all, it actually means there isn't a single (unmarried) person on board, so everyone aboard is married.",0,54,66,,1,inventive,1,"The model correctly identifies the wordplay on 'single' meaning unmarried, arriving at the canonical answer.",1,0,inventive,1,"The model correctly identifies the wordplay on 'single' meaning unmarried, matching the canonical answer."
claude-opus-4-6,baseline,off,,2,B,2B,1,"You see a boat filled with people, and there's more than a single person on board. How is that possible?","**The boat is filled with people, and that's not a contradiction — the question never said it wasn't possible.**

The trick here is that the riddle tries to lead you toward thinking there's a paradox, but there is none: a boat with more than one person on board is an entirely normal, everyday situation, so no special explanation is needed.",0,55,77,,1,literal,1,"The model correctly identifies that the boat being filled with people is the answer, recognizing there is no paradox.",1,0,literal,1,"The model correctly identifies that there is no paradox and the boat simply has multiple people on it, matching the literal canonical answer."
claude-opus-4-6,baseline,off,,3,A,3A,1,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 3 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**Answer: There are only 3 people — a grandfather, his son, and his grandson.**

The son is both a father (to the grandson) and a son (to the grandfather), so ""two fathers and two sons"" describes three people, each of whom gets one fish.",0,79,63,,1,inventive,1,"The model correctly identifies the overlapping roles (grandfather, father, son = 3 people) as the key lateral thinking insight.",1,0,inventive,1,The model correctly identifies the three-generation family trick where the middle person is both a father and a son.
claude-opus-4-6,baseline,off,,3,B,3B,1,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 4 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**Answer: There are only 3 people — a grandfather, his son, and his grandson.**

The son is both a son (to the grandfather) and a father (to the grandson), so ""two fathers and two sons"" actually refers to just three people, meaning 4 fish is more than enough for one each.",0,79,72,,0,inventive,0,The model gives the classic trick answer (3 people) rather than the canonical answer for Version B (4 people = 2 fathers + 2 sons with no overlap).,0,,inventive,0,"The model gives the classic trick answer of 3 people, but Version B requires the literal answer of 4 people (two fathers + two sons = 4 distinct individuals)."
claude-opus-4-6,baseline,off,,4,A,4A,1,A black dog stands in the middle of an intersection in a town painted black. None of the street lights are working due to a power failure caused by a storm. A car with two broken headlights drives towards the dog but turns in time to avoid hitting him. How could the driver have seen the dog in time?,"**The storm happened during the daytime.**

The problem never states it was nighttime—it leads you to assume darkness by mentioning black paint, broken lights, and a power failure, but during daylight the driver could easily see the black dog regardless of any of those factors.",0,96,61,,1,inventive,1,"The model correctly identifies the lateral thinking solution that it was daytime, recognizing the riddle's misdirection through details implying darkness.",1,0,inventive,1,"The model correctly identifies that it was daytime, recognizing the lateral thinking trick that darkness is assumed but never stated."
claude-opus-4-6,baseline,off,,4,B,4B,1,A black dog stands in the middle of an intersection in a town painted black at night. All of the street lights are working. A car with two broken headlights drives towards the dog but turns in time to avoid hitting him. How could the driver have seen the dog in time?,"**It was daytime.**

The riddle never says it's nighttime — it only says the town is ""painted black"" and describes the street lights and headlights to mislead you, but ""at night"" modifies when the town was painted, and the drive itself occurs during the day, making the dog fully visible.",0,89,72,,0,inventive,0,"The model used a creative reinterpretation of 'at night' as modifying when the town was painted rather than when the driving occurred, missing the canonical answer that the working street lights provided illumination.",0,,inventive,0,"The model uses a creative reinterpretation of 'at night' as modifying 'painted' rather than the scene, arriving at 'daytime' instead of the correct answer that the working street lights illuminate the dog."
claude-opus-4-6,baseline,off,,5,A,5A,1,"Three girls share one umbrella on the way to school, but none of them get wet. How is it possible?","**It wasn't raining.**

They were carrying an umbrella, but since it wasn't raining (or there was no precipitation), none of them needed its protection and therefore none of them got wet.",0,55,46,,1,inventive,1,"The model correctly identifies the trick answer that it simply wasn't raining, reframing the assumption that an umbrella implies rain.",1,0,inventive,1,"The model correctly identifies the lateral thinking answer that it simply wasn't raining, making the umbrella irrelevant to getting wet."
claude-opus-4-6,baseline,off,,5,B,5B,1,"Three girls share three umbrellas on a rainy walk to school, and no girls got wet. How is it possible?","**It wasn't raining.**

The problem states it was a ""rainy walk,"" but the simplest explanation is that it wasn't actually raining during their walk (perhaps it rained before or after), so all three girls stayed dry despite only having three umbrellas to share.",0,57,63,,0,inventive,0,The model used a lateral thinking trick (it wasn't actually raining) rather than the canonical answer that each girl simply had her own umbrella.,0,,inventive,0,"The model used a lateral thinking reframe (it wasn't actually raining), rather than the literal answer that each girl simply had her own umbrella."
