model,framing,thinking_mode,effort,session_id,position,pair,version,riddle_id,repetition,riddle_text,model_answer,thinking_used,input_tokens,output_tokens,error
claude-opus-4-6,sequential,adaptive,high,s0_000,1,7,A,7A,s0_000,"If the end of the year is December 31st, what is the end of Christmas?","**The letter ""S"".**

The riddle plays on the word ""end"" literally — the last letter of the word ""Christmas"" is the letter **S**.",1,63,94,
claude-opus-4-6,sequential,adaptive,high,s0_000,2,4,A,4A,s0_000,A black dog stands in the middle of an intersection in a town painted black. None of the street lights are working due to a power failure caused by a storm. A car with two broken headlights drives towards the dog but turns in time to avoid hitting him. How could the driver have seen the dog in time?,"**It was daytime.**

The riddle deliberately implies darkness with details like broken streetlights and broken headlights, but it never actually states it was nighttime — so the driver could simply see the dog in broad daylight.",1,169,115,
claude-opus-4-6,sequential,adaptive,high,s0_000,3,20,A,20A,s0_000,"Railroad Crossing, look out for the cars. Can you spell that without any R's?","**T-H-A-T.**

The riddle tricks you into trying to spell ""railroad crossing"" without the letter R, but it's actually asking you to spell the word **""that""** — which contains no R's at all.",1,243,137,
claude-opus-4-6,sequential,adaptive,high,s0_000,4,17,B,17B,s0_000,I'm a number. Add me to myself and divide by 2. You will have me once more. How is that possible?,"**Any number at all.**

This works for every number because adding any number to itself doubles it, and dividing by 2 brings it right back to the original — for example, 5 + 5 = 10 ÷ 2 = 5 — so the riddle's trick is making you think only a special number could do this.",1,328,225,
claude-opus-4-6,sequential,adaptive,high,s0_000,5,21,B,21B,s0_000,"If the prisoner tells a lie he'll be hanged, if he tells the truth he'll be freed. What can he say to save himself?","**""I will be hanged.""**

This creates a paradox — if they hang him, then he told the truth and should have been freed; if they free him, then he lied and should be hanged — so the only way to avoid contradicting their own rules is to set him free.",1,444,191,
claude-opus-4-6,sequential,adaptive,high,s0_000,6,10,B,10B,s0_000,"A horse was tied to a post using a 5-meter-long rope, and the horse's food was 3 meters away from the horse. How did the horse reach the food?","**The horse simply walked to the food.**

The riddle tricks you into thinking the rope is a constraint, but since the rope is 5 meters long and the food is only 3 meters away, the horse has more than enough rope to reach it easily.",1,554,423,
claude-opus-4-6,sequential,adaptive,high,s0_001,1,18,B,18B,s0_001,"With pointed fangs, I sit and wait. With piercing force, I crunch out fate. Grabbing victims, proclaiming might, injecting venom with a single bite. What am I?","**A stapler.**

The riddle uses imagery of fangs, biting, and venom to misdirect you toward a snake or spider, but each clue cleverly describes a stapler — it sits on a desk waiting, has pointed metal ""fangs"" (staples), pierces and crunches through paper with force, and ""injects"" its staple in a single bite.",1,88,251,
claude-opus-4-6,sequential,adaptive,high,s0_001,2,13,B,13B,s0_001,"Feed me I live, give me water I thrive. What am I?","**A plant.**

A plant survives when fed (with nutrients or sunlight) and thrives when given water, as both are essential to its growth and health.",1,195,196,
claude-opus-4-6,sequential,adaptive,high,s0_001,3,24,B,24B,s0_001,"Hands she has but does hold, teeth she has but does bite, feet she has but they are not cold, eyes she has but with sight. Who is she?","**A doll.**

A doll has hands (but can't hold anything), teeth (but can't bite), feet (but they don't get cold since she's not alive), and eyes (but cannot actually see) — all features that mimic a human's appearance without any of the actual functions.",1,271,355,
claude-opus-4-6,sequential,adaptive,high,s0_001,4,15,A,15A,s0_001,"A girl has a book, but she is not reading it, she is not holding it, and it is not open. How is she using it?","**She is sitting on it.**

The girl is using the book as a booster seat to sit higher, which doesn't require reading, holding, or opening it — a common practical use of a book beyond its intended purpose.",1,372,119,
claude-opus-4-6,sequential,adaptive,high,s0_001,5,2,A,2A,s0_001,"You see a boat filled with people, yet there isn't a single person on board. How is that possible?","**All the people on board are married.**

The riddle plays on the double meaning of the word ""single"" — it doesn't mean there are no people on the boat, but rather that every person aboard is married, so there isn't a *single* (unmarried) person on board.",1,448,118,
claude-opus-4-6,sequential,adaptive,high,s0_001,6,26,A,26A,s0_001,"I have branches, but no fruit, trunk, or leaves. What am I?","**A bank.**

A bank has multiple ""branches"" (locations where it operates), but unlike a tree, it has no fruit, trunk, or leaves — the riddle plays on the double meaning of the word ""branches.""",1,533,88,
claude-opus-4-6,sequential,adaptive,high,s0_002,1,19,B,19B,s0_002,"I speak with a mouth and hear with ears. I have a body, and I feel the wind. What am I?","**A bell.**

A bell has a ""mouth"" (its open end), ""ears"" (the loops at the top by which it is hung), a ""body"" (its main structure), and it responds to the wind (as wind can cause it to ring).",1,69,182,
claude-opus-4-6,sequential,adaptive,high,s0_002,2,30,A,30A,s0_002,There are six eggs in a basket. Six people each take one egg. How is it possible that one egg is still in the basket?,"**The sixth person took the basket with the egg still in it.**

The last person took their egg while it was still inside the basket, so technically one egg remains ""in the basket.""",1,159,76,
claude-opus-4-6,sequential,adaptive,high,s0_002,3,12,A,12A,s0_002,A guy bet his neighbor 50 bucks that his dog could jump higher than a house. The neighbor took the bet and lost. How is that possible?,"**Houses can't jump.**

Since a house cannot jump at all, even the smallest jump by the dog is higher than a house's jump, making the bet an easy win.",1,237,71,
claude-opus-4-6,sequential,adaptive,high,s0_002,4,18,A,18A,s0_002,"With pointed fangs, I sit and wait. With piercing force, I crunch out fate. Grabbing victims, proclaiming might, physically joining with a single bite. What am I?","**A stapler.**

It has pointed ""fangs"" (the staple), it ""crunches"" down with force, it grabs papers (victims) together, and it physically joins them with a single bite (a single staple press).",1,322,76,
claude-opus-4-6,sequential,adaptive,high,s0_002,5,29,B,29B,s0_002,"You're trapped in a room with three doors. The first leads to a room of nothing, the second to an assassin waiting to kill you, and the third to a lion that hasn't eaten in three days. Which door is safest?","**The third door.**

A lion that hasn't eaten in three days would be dead from starvation, making it completely harmless.",1,431,65,
claude-opus-4-6,sequential,adaptive,high,s0_002,6,11,B,11B,s0_002,"A magician was boasting one day about how long he could hold his breath underwater. His record was 6 minutes. A kid who was listening said, ""I can hold my breath underwater for 1 minute using no type of equipment or air pockets!"" The magician told the kid if he could do exactly what he said, he'd give him $10,000. The kid did it and won the money. How is that possible?","**The kid held a glass of water over his head and held his breath for 1 minute.**

He was technically ""under water"" (beneath a container of water) while holding his breath, fulfilling the exact claim he made without needing to submerge himself.",1,559,654,
claude-opus-4-6,sequential,adaptive,high,s0_003,1,27,A,27A,s0_003,It belongs to you but everyone else uses it. What is it?,"**Your name.**

It belongs to you, yet other people are the ones who say and use it to refer to you far more than you use it yourself.",1,58,93,
claude-opus-4-6,sequential,adaptive,high,s0_003,2,23,B,23B,s0_003,What is not full of holes and can still hold water?,"**A sponge.**

This is likely the classic riddle ""What is **full** of holes but still holds water?"" — and the answer is a sponge, since despite being riddled with holes, it absorbs and holds water within its structure.",1,109,320,
claude-opus-4-6,sequential,adaptive,high,s0_003,3,19,A,19A,s0_003,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","**An echo.**

An echo ""speaks"" by reproducing sound without a mouth, ""hears"" by responding to sound without ears, has no physical body, and comes alive as sound travels through the air (wind).",1,196,147,
claude-opus-4-6,sequential,adaptive,high,s0_003,4,28,A,28A,s0_003,"I have cities, but no houses; forests, but no trees; and water, but no fish. What am I?","**A map.**

A map displays cities, forests, and bodies of water, but since it's just a representation, it contains none of the actual houses, trees, or fish found in those real places.",1,273,65,
claude-opus-4-6,sequential,adaptive,high,s0_003,5,25,B,25B,s0_003,"I act like a cat, I look like a cat, and I am called a cat. What am I?","**A kitten.**

A kitten acts like a cat, looks like a cat, and is often called a cat, but it's technically not an adult cat — it's a kitten, making the riddle's trick that the simplest-sounding answer isn't quite the intended one.",1,345,283,
claude-opus-4-6,sequential,adaptive,high,s0_003,6,15,B,15B,s0_003,"A girl has a book, and she is reading it, holding it, and it is open. How is she using it?","**She is reading it.**

The answer is already stated in the riddle itself — the trick is to make you overthink it, when the question plainly tells you she is reading the book.",1,439,219,
claude-opus-4-6,sequential,adaptive,high,s0_004,1,6,A,6A,s0_004,"Which of the following is the largest? Circle, square, or triangle?","**Triangle**

Since no dimensions are given for the shapes, the question is referring to the words themselves, and ""triangle"" is the largest because it has the most letters (8, compared to 6 each for ""circle"" and ""square"").",1,59,196,
claude-opus-4-6,sequential,adaptive,high,s0_004,2,3,B,3B,s0_004,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 4 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**There were only 3 people: a grandfather, his son, and his grandson.**

The grandfather and his son are the ""two fathers,"" while his son and grandson are the ""two sons"" — the middle person (the son/father) fills both roles, so 4 fish is more than enough for one each.",1,165,1031,
claude-opus-4-6,sequential,adaptive,high,s0_004,3,30,A,30A,s0_004,There are six eggs in a basket. Six people each take one egg. How is it possible that one egg is still in the basket?,"**The sixth person took the egg while it was still in the basket.**

The last person took the entire basket with the egg still inside it, so they technically took one egg but the egg remained in the basket.",1,268,81,
claude-opus-4-6,sequential,adaptive,high,s0_004,4,20,B,20B,s0_004,"Railroad Crossing, look out for the cars. Can you spell that without any T's?","**T-H-A-T**

The riddle is a trick of misdirection — it makes you think you need to spell ""Railroad Crossing, look out for the cars"" without the letter T, but it's actually just asking you to spell the word ""that,"" which is simply **T-H-A-T**.",1,337,442,
claude-opus-4-6,sequential,adaptive,high,s0_004,5,11,A,11A,s0_004,"A magician was boasting one day about how long he could hold his breath underwater. His record was 6 minutes. A kid who was listening said, ""I can be underwater for 10 minutes using no type of equipment or air pockets!"" The magician told the kid if he could do that, he'd give him $10,000. The kid did it and won the money. How is that possible?","**The kid held a glass of water over his head for 10 minutes.**

The trick is in the wording — the kid was technically ""under water"" by holding a container of water above his head, rather than being submerged in water, so he didn't need to hold his breath at all.",1,502,100,
claude-opus-4-6,sequential,adaptive,high,s0_004,6,29,B,29B,s0_004,"You're trapped in a room with three doors. The first leads to a room of nothing, the second to an assassin waiting to kill you, and the third to a lion that hasn't eaten in three days. Which door is safest?","**The third door — the lion.**

A lion that hasn't eaten in three days would be dead from starvation, making it completely harmless and the safest choice.",1,623,347,
claude-opus-4-6,sequential,adaptive,high,s0_005,1,30,A,30A,s0_005,There are six eggs in a basket. Six people each take one egg. How is it possible that one egg is still in the basket?,"**The sixth person took the egg while it was still in the basket.**

The classic answer is that the last person took the basket itself with the egg still inside it, so one egg remains ""in the basket"" even though all six eggs were taken.",1,72,84,
claude-opus-4-6,sequential,adaptive,high,s0_005,2,11,B,11B,s0_005,"A magician was boasting one day about how long he could hold his breath underwater. His record was 6 minutes. A kid who was listening said, ""I can hold my breath underwater for 1 minute using no type of equipment or air pockets!"" The magician told the kid if he could do exactly what he said, he'd give him $10,000. The kid did it and won the money. How is that possible?","**The kid held a glass of water over his head and held his breath for 1 minute.**

By standing with a cup of water above his head, the kid was technically ""under water"" (beneath water), making it easy to hold his breath for just one minute without any special equipment.",1,223,555,
claude-opus-4-6,sequential,adaptive,high,s0_005,3,3,A,3A,s0_005,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 3 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**There were only three people: a grandfather, a father, and a son.**

The father is both a son (to the grandfather) and a father (to his own child), so ""two fathers and two sons"" actually describes just three people, meaning one fish each works out perfectly.",1,338,126,
claude-opus-4-6,sequential,adaptive,high,s0_005,4,15,B,15B,s0_005,"A girl has a book, and she is reading it, holding it, and it is open. How is she using it?","**She's simply reading it — using it as a book is meant to be used.**

The riddle is designed to make you overthink and search for a trick, but the answer is straightforward: she's just reading the book normally, exactly as described in the question.",1,430,468,
claude-opus-4-6,sequential,adaptive,high,s0_005,5,26,B,26B,s0_005,"I have branches, fruit, a trunk, and leaves. What am I?","**A tree.**

All four characteristics — branches, fruit, a trunk, and leaves — are the defining features of a fruit-bearing tree, making this a straightforward riddle with no trick involved.",1,509,104,
claude-opus-4-6,sequential,adaptive,high,s0_005,6,19,A,19A,s0_005,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","**An echo.**

An echo ""speaks"" by repeating sounds without a mouth, ""hears"" by receiving sound waves without ears, has no physical body, and comes alive as sound carries through the air (wind).",1,583,106,
claude-opus-4-6,sequential,adaptive,high,s0_006,1,9,A,9A,s0_006,There are 10 peaches and 7 peaches are taken away. You now have 7 peaches. How is that possible?,"**You are the one who took the 7 peaches.**

The problem says ""7 peaches are taken away"" and ""you now have 7 peaches"" — this makes sense because *you* were the one who took them, so you now possess those 7 peaches.",1,75,124,
claude-opus-4-6,sequential,adaptive,high,s0_006,2,11,A,11A,s0_006,"A magician was boasting one day about how long he could hold his breath underwater. His record was 6 minutes. A kid who was listening said, ""I can be underwater for 10 minutes using no type of equipment or air pockets!"" The magician told the kid if he could do that, he'd give him $10,000. The kid did it and won the money. How is that possible?","**The kid held a glass of water over his head for 10 minutes.**

He was technically ""under water"" without actually being submerged, so he didn't need to hold his breath at all.",1,233,87,
claude-opus-4-6,sequential,adaptive,high,s0_006,3,24,B,24B,s0_006,"Hands she has but does hold, teeth she has but does bite, feet she has but they are not cold, eyes she has but with sight. Who is she?","**A doll.**

A doll has hands that can't hold, teeth that can't bite, feet that aren't cold (since they're not real), and eyes that can't actually see — all features that mimic a human's appearance without any of the function.",1,318,319,
claude-opus-4-6,sequential,adaptive,high,s0_006,4,12,B,12B,s0_006,A guy bet his neighbor 50 bucks that his dog could jump higher than the height of a neighbor's fence. The neighbor took the bet and lost. How is that possible?,"**Fences can't jump.**

The bet was that the dog could jump higher than *the fence could jump*, and since a fence can't jump at all, even the smallest jump by the dog would win the bet.",1,419,101,
claude-opus-4-6,sequential,adaptive,high,s0_006,5,23,B,23B,s0_006,What is not full of holes and can still hold water?,"**A sponge.**

This is likely the classic riddle ""What is full of holes but can still hold water?"" — a sponge is riddled with holes throughout its structure, yet it absorbs and holds water due to its porous material.",1,484,261,
claude-opus-4-6,sequential,adaptive,high,s0_006,6,19,A,19A,s0_006,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","**An echo.**

An echo ""speaks"" by repeating sounds without a mouth, ""hears"" by responding to sound without ears, has no physical body, and comes alive as sound carries through the air (wind).",1,570,146,
claude-opus-4-6,sequential,adaptive,high,s0_007,1,9,B,9B,s0_007,You have 10 peaches and 3 peaches are taken away. You now have 7 peaches. How is that possible?,"**It's perfectly possible because 10 − 3 = 7.**

The question is designed to make you overthink it, but there's no trick — it's simply correct arithmetic.",1,75,206,
claude-opus-4-6,sequential,adaptive,high,s0_007,2,25,A,25A,s0_007,"I act like a cat, I look like a cat, yet I am not a cat. What am I?","**A kitten.**

A kitten acts and looks like a cat, but it is specifically called a kitten, not a cat.",1,145,82,
claude-opus-4-6,sequential,adaptive,high,s0_007,3,19,A,19A,s0_007,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","**An echo.**

An echo ""speaks"" by reproducing sound without a mouth, ""hears"" by responding to sound without ears, has no physical body, and comes alive as sound travels through the air (wind).",1,206,145,
claude-opus-4-6,sequential,adaptive,high,s0_007,4,6,A,6A,s0_007,"Which of the following is the largest? Circle, square, or triangle?","**Triangle.**

Since no dimensions are given, the answer refers to the words themselves — ""triangle"" is the largest word, having 8 letters compared to ""circle"" (6) and ""square"" (6).",1,273,153,
claude-opus-4-6,sequential,adaptive,high,s0_007,5,27,B,27B,s0_007,It belongs to you but no one else uses it. What is it?,"**Your name.**

It belongs to you — it's *your* name — but in everyday life, other people are the ones who actually use it to address or refer to you.",1,340,379,
claude-opus-4-6,sequential,adaptive,high,s0_007,6,15,B,15B,s0_007,"A girl has a book, and she is reading it, holding it, and it is open. How is she using it?","**She is reading it.**

The answer is already stated in the question itself — it tells you directly that she is reading it, making it a straightforward answer that people tend to overthink.",1,410,209,
claude-opus-4-6,sequential,adaptive,high,s0_008,1,19,B,19B,s0_008,"I speak with a mouth and hear with ears. I have a body, and I feel the wind. What am I?","## A Bell

A bell has a **mouth** (its open end), **ears** (the loops at the top used for hanging), a **body** (its main structure), and it hangs in towers where it **feels the wind** — all matching the riddle's clues without actually being alive.",1,69,351,
claude-opus-4-6,sequential,adaptive,high,s0_008,2,16,B,16B,s0_008,What do you call a fly with wings?,"## A Fly

This is a play on the classic joke — a fly *with* wings is simply called **a fly**, because the humor comes from its counterpart: a fly *without* wings would be called ""a walk.""",1,149,188,
claude-opus-4-6,sequential,adaptive,high,s0_008,3,27,A,27A,s0_008,It belongs to you but everyone else uses it. What is it?,"## Your Name

It belongs to you, but in everyday life, other people are the ones who actually use it most — to address you, refer to you, and get your attention.",1,218,60,
claude-opus-4-6,sequential,adaptive,high,s0_008,4,26,B,26B,s0_008,"I have branches, fruit, a trunk, and leaves. What am I?","## A Tree

A tree has all four of these features — **branches**, **fruit**, a **trunk**, and **leaves** — making it the straightforward and definitive answer to this riddle.",1,278,125,
claude-opus-4-6,sequential,adaptive,high,s0_008,5,5,A,5A,s0_008,"Three girls share one umbrella on the way to school, but none of them get wet. How is it possible?","## It's Not Raining

The riddle tricks you into assuming it's raining, but if there's no rain, the three girls can easily share one umbrella without any of them getting wet.",1,350,73,
claude-opus-4-6,sequential,adaptive,high,s0_008,6,20,A,20A,s0_008,"Railroad Crossing, look out for the cars. Can you spell that without any R's?","## T-H-A-T

The riddle tricks you by making you think you need to spell ""Railroad Crossing"" without the letter R, but it's actually asking you to spell the word **""that""** — which has no R's at all.",1,418,122,
claude-opus-4-6,sequential,adaptive,high,s0_009,1,23,B,23B,s0_009,What is not full of holes and can still hold water?,"**A bucket (or a cup/glass).**

This riddle plays on the classic ""What *is* full of holes but still holds water?"" (a sponge) by flipping the question — and the straightforward answer is any ordinary container like a bucket, which has no holes and holds water just fine.",1,56,449,
claude-opus-4-6,sequential,adaptive,high,s0_009,2,17,A,17A,s0_009,I'm a number. Add me to myself and multiply by 4. You will have me once more. How is that possible?,"**The number is 0.**

Adding 0 to itself gives 0, and multiplying by 4 still gives 0 — so you get the same number once more.",1,156,172,
claude-opus-4-6,sequential,adaptive,high,s0_009,3,27,A,27A,s0_009,It belongs to you but everyone else uses it. What is it?,"**Your name.**

It belongs to you, but other people are the ones who use it most often when they refer to you or call for you.",1,216,53,
claude-opus-4-6,sequential,adaptive,high,s0_009,4,11,B,11B,s0_009,"A magician was boasting one day about how long he could hold his breath underwater. His record was 6 minutes. A kid who was listening said, ""I can hold my breath underwater for 1 minute using no type of equipment or air pockets!"" The magician told the kid if he could do exactly what he said, he'd give him $10,000. The kid did it and won the money. How is that possible?","**The kid held a glass (or cup) of water over his head and held his breath for 1 minute.**

He was technically ""under water"" — beneath the water in the glass — so he fulfilled exactly what he said without needing to submerge himself.",1,346,720,
claude-opus-4-6,sequential,adaptive,high,s0_009,5,29,A,29A,s0_009,"You're trapped in a room with three doors. The first leads to a room on fire, the second to an assassin waiting to kill you, and the third to a lion that hasn't eaten in three years. Which door is safest?","**The third door, with the lion.**

A lion that hasn't eaten in three years would be dead from starvation, making it completely harmless.",1,459,69,
claude-opus-4-6,sequential,adaptive,high,s0_009,6,5,B,5B,s0_009,"Three girls share three umbrellas on a rainy walk to school, and no girls got wet. How is it possible?","**It wasn't raining.**

The riddle describes it as ""a rainy walk"" to mislead you, but if it wasn't actually raining at the time they walked, they wouldn't get wet regardless of the umbrellas.",1,524,453,
claude-opus-4-6,sequential,adaptive,high,s0_010,1,3,A,3A,s0_010,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 3 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**There were only 3 people: a grandfather, his son, and his grandson.**

The son is both a father (to the grandson) and a son (of the grandfather), so while there are indeed ""two fathers and two sons,"" there are only three people, meaning one fish each is enough.",1,92,125,
claude-opus-4-6,sequential,adaptive,high,s0_010,2,8,A,8A,s0_010,How many bananas can you eat if your stomach is empty?,"**One.**

After eating one banana, your stomach is no longer empty, so you can only eat one banana on an empty stomach.",1,175,83,
claude-opus-4-6,sequential,adaptive,high,s0_010,3,25,B,25B,s0_010,"I act like a cat, I look like a cat, and I am called a cat. What am I?","**A kitten.**

A kitten acts like a cat, looks like a cat, and is often called a cat — but it's specifically a kitten.",1,232,57,
claude-opus-4-6,sequential,adaptive,high,s0_010,4,6,A,6A,s0_010,"Which of the following is the largest? Circle, square, or triangle?","**Triangle.**

Since no dimensions are given for the shapes, the trick is that the question is really about the words themselves — and ""triangle"" is the largest word, having the most letters (8).",1,287,244,
claude-opus-4-6,sequential,adaptive,high,s0_010,5,29,B,29B,s0_010,"You're trapped in a room with three doors. The first leads to a room of nothing, the second to an assassin waiting to kill you, and the third to a lion that hasn't eaten in three days. Which door is safest?","**The third door.**

A lion that hasn't eaten in three days would be dead from starvation, so it poses no threat to you.",1,385,67,
claude-opus-4-6,sequential,adaptive,high,s0_010,6,20,B,20B,s0_010,"Railroad Crossing, look out for the cars. Can you spell that without any T's?","**Yes: T-H-A-T.**

The trick is that the question is asking you to spell the word ""that,"" not the phrase ""Railroad Crossing, look out for the cars"" — the first sentence is just a distraction.",1,441,867,
claude-opus-4-6,sequential,adaptive,high,s0_011,1,7,A,7A,s0_011,"If the end of the year is December 31st, what is the end of Christmas?","**The letter ""S""**

The riddle is a play on words — rather than asking about a date, it's asking about the last letter of the *word* ""Christmas,"" which is **S**.",1,63,101,
claude-opus-4-6,sequential,adaptive,high,s0_011,2,15,A,15A,s0_011,"A girl has a book, but she is not reading it, she is not holding it, and it is not open. How is she using it?","**She is sitting on it.**

The book is being used as a booster seat — a common use for a book that doesn't involve reading, holding, or opening it.",1,144,103,
claude-opus-4-6,sequential,adaptive,high,s0_011,3,6,B,6B,s0_011,"Which of the following is the largest? A tiny triangle, a medium circle, or a large rectangle?","**The large rectangle.**

The adjectives directly describe the sizes — regardless of shape, ""large"" is bigger than ""medium"" or ""tiny,"" making the large rectangle the largest of the three.",1,208,93,
claude-opus-4-6,sequential,adaptive,high,s0_011,4,21,B,21B,s0_011,"If the prisoner tells a lie he'll be hanged, if he tells the truth he'll be freed. What can he say to save himself?","**""I will be hanged.""**

This creates a paradox — if they hang him, he told the truth and should be freed, but if they free him, he lied and should be hanged — making it impossible to carry out either punishment, thus saving him.",1,285,169,
claude-opus-4-6,sequential,adaptive,high,s0_011,5,26,B,26B,s0_011,"I have branches, fruit, a trunk, and leaves. What am I?","**A tree.**

All of the clues — branches, fruit, a trunk, and leaves — are classic features of a tree, making it the straightforward answer.",1,365,60,
claude-opus-4-6,sequential,adaptive,high,s0_011,6,29,A,29A,s0_011,"You're trapped in a room with three doors. The first leads to a room on fire, the second to an assassin waiting to kill you, and the third to a lion that hasn't eaten in three years. Which door is safest?","**The third door.**

A lion that hasn't eaten in three years would be dead from starvation, making it completely harmless and the safest choice.",1,456,66,
claude-opus-4-6,sequential,adaptive,high,s0_012,1,12,B,12B,s0_012,A guy bet his neighbor 50 bucks that his dog could jump higher than the height of a neighbor's fence. The neighbor took the bet and lost. How is that possible?,"**The fence can't jump.**

The bet was that the dog could jump higher than *the fence* could jump — and since fences can't jump at all, even a small hop by the dog wins the bet.",1,82,108,
claude-opus-4-6,sequential,adaptive,high,s0_012,2,23,B,23B,s0_012,What is not full of holes and can still hold water?,"**A cup (or bucket, bowl, glass, etc.).**

This is a play on the classic riddle ""What is *full* of holes but still holds water?"" (a sponge) — but by removing the tricky constraint, the answer becomes anything ordinary that holds water.",1,146,407,
claude-opus-4-6,sequential,adaptive,high,s0_012,3,11,A,11A,s0_012,"A magician was boasting one day about how long he could hold his breath underwater. His record was 6 minutes. A kid who was listening said, ""I can be underwater for 10 minutes using no type of equipment or air pockets!"" The magician told the kid if he could do that, he'd give him $10,000. The kid did it and won the money. How is that possible?","**The kid held a glass (or cup) of water over his head for 10 minutes.**

He was technically ""under water"" without actually being submerged, so he didn't need to hold his breath at all.",1,301,83,
claude-opus-4-6,sequential,adaptive,high,s0_012,4,19,A,19A,s0_012,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","**An echo.**

An echo ""speaks"" by repeating sounds without a mouth, ""hears"" the original sound without ears, has no physical body, and comes alive when sound travels through the air (wind).",1,381,135,
claude-opus-4-6,sequential,adaptive,high,s0_012,5,27,A,27A,s0_012,It belongs to you but everyone else uses it. What is it?,"**Your name.**

It's given to you and belongs to you, but in practice other people are the ones who say and use it far more than you do.",1,446,56,
claude-opus-4-6,sequential,adaptive,high,s0_012,6,26,B,26B,s0_012,"I have branches, fruit, a trunk, and leaves. What am I?","**A tree.**

A tree has all four of those things — branches, fruit (on fruit-bearing trees), a trunk, and leaves — making it the straightforward answer to this riddle.",1,502,63,
claude-opus-4-6,sequential,adaptive,high,s0_013,1,2,B,2B,s0_013,"You see a boat filled with people, and there's more than a single person on board. How is that possible?","**There's nothing impossible about it — a boat carrying multiple people is perfectly normal.**

The riddle is designed to trick you into overthinking and searching for a clever catch, when in fact the scenario described is completely ordinary and needs no special explanation.",1,68,434,
claude-opus-4-6,sequential,adaptive,high,s0_013,2,16,B,16B,s0_013,What do you call a fly with wings?,"**A fly.**

A fly naturally has wings, so a fly with wings is just called a fly — the riddle tricks you into overthinking what is simply the normal state of things.",1,134,135,
claude-opus-4-6,sequential,adaptive,high,s0_013,3,30,A,30A,s0_013,There are six eggs in a basket. Six people each take one egg. How is it possible that one egg is still in the basket?,"**The sixth person took the basket with the egg still in it.**

Five people each took an egg out of the basket, and the sixth person took the last egg while it was still inside the basket, so one egg remained ""in the basket.""",1,207,113,
claude-opus-4-6,sequential,adaptive,high,s0_013,4,3,B,3B,s0_013,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 4 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**There were only three people: a grandfather, his son, and his grandson.**

The son is both a **father** (to the grandson) and a **son** (of the grandfather), so ""two fathers and two sons"" describes just three people — making four fish more than enough for one each.",1,312,680,
claude-opus-4-6,sequential,adaptive,high,s0_013,5,12,A,12A,s0_013,A guy bet his neighbor 50 bucks that his dog could jump higher than a house. The neighbor took the bet and lost. How is that possible?,"**Houses can't jump.**

Since a house can't jump at all, even the smallest jump by the dog is higher than a house's ""jump,"" so the neighbor lost the bet.",1,415,73,
claude-opus-4-6,sequential,adaptive,high,s0_013,6,17,A,17A,s0_013,I'm a number. Add me to myself and multiply by 4. You will have me once more. How is that possible?,"**The number is 0.**

Zero added to itself equals zero, and zero multiplied by 4 is still zero — any operation performed on zero always returns zero.",1,487,141,
claude-opus-4-6,sequential,adaptive,high,s0_014,1,13,A,13A,s0_014,"Feed me I live, give me water I die. What am I?","**Fire.**

Fire grows when you give it fuel (""feed"" it) but is extinguished when you pour water on it.",1,59,94,
claude-opus-4-6,sequential,adaptive,high,s0_014,2,7,A,7A,s0_014,"If the end of the year is December 31st, what is the end of Christmas?","**The letter ""S.""**

The riddle is a play on words — it's not asking about a date, but simply the last letter of the word ""Christmas.""",1,112,92,
claude-opus-4-6,sequential,adaptive,high,s0_014,3,3,B,3B,s0_014,"Two fathers and two sons went fishing one day. They were there the whole day and only caught 4 fish. One father said, that is enough for all of us, we will have one each. How can this be possible?","**There were only three people: a grandfather, his son, and his grandson.**

The son is both a father (to the grandson) and a son (to the grandfather), so ""two fathers and two sons"" actually describes just three people — making four fish more than enough for one each.",1,202,320,
claude-opus-4-6,sequential,adaptive,high,s0_014,4,5,A,5A,s0_014,"Three girls share one umbrella on the way to school, but none of them get wet. How is it possible?","**It wasn't raining.**

The riddle leads you to assume it must be raining, but if there's no rain, they can all walk to school with one umbrella and stay perfectly dry.",1,293,73,
claude-opus-4-6,sequential,adaptive,high,s0_014,5,10,B,10B,s0_014,"A horse was tied to a post using a 5-meter-long rope, and the horse's food was 3 meters away from the horse. How did the horse reach the food?","**The horse simply walked over to it.**

Since the rope was 5 meters long and the food was only 3 meters away, the food was well within the horse's reach — the riddle tricks you into assuming the food was out of reach, but it wasn't.",1,382,389,
